"","specs_poly","specs_mono","weights_poly","weights_mono","M_mass_poly","M_mass_mono","F_mass_poly","F_mass_mono","overallmol_poly","overallmol_mono","dnmito_poly","dnmito_mono","dsmito_poly","dsmito_mono","dndsmito_poly","dndsmito_mono","sprich_poly","sprich_mono","bea12_poly","bea12_mono","bea3_poly","bea3_mono"
"1","Dromaius","Apteryx",0.25,0.75,32700,1984.333333,38300,2385.333333,0.046135,0.017488,0.039898551,0.104450309,0.192782601,0.184196587,0.206961369,0.567058873,4,4,0.00361200787820753,0.00560396762962266,0.930034475968971,0.854438537824093
"2","Biziura","Stictonetta",1,0.5,2398,969,1551,842,0.037119,0.104085,0.04944446,0.049538609,0.137266103,0.144844622,0.36020881,0.342012067,1,2,0.00411433621573844,0.00369115850200783,0.91327268927761,0.865793984193583
"3","Cairina","Aythya",0.5,0.4,3000,794.5,1250,743.2833333,0.094324,0.041587,0.035453712,0.024551211,0.127375774,0.109047138,0.278339523,0.225143103,2,15,0.00348548448981746,0.00271606549522082,0.907271806009421,0.879926659662864
"4","Alectura","Leipoa",0.333333333,1,2450,2040,2210,1830,0.017688,0.022612,0.043808325,0.088817472,0.118285259,0.200021027,0.370361661,0.444040676,3,1,0.00363784329291088,0.00536881728541913,0.824209840365003,0.902727750977169
"5","Penelopina","Crax",0.041666667,0.115384615,890,1735.666667,890,1537.333333,0.070066,0.064534,0.06182307,0.066734423,0.106807425,0.141075351,0.578827451,0.473040987,24,26,0.00390878607783334,0.00473366076782858,0.878713374490516,0.844727301275535
"6","Threskiornis","Ardea",0.117647059,0.193548387,1806.975,713.2444444,1558.1,772.27,0.091852,0.106649,0.057105758,0.079651897,0.149273028,0.178054682,0.382559115,0.44734514,34,62,0.00316728778597753,0.00283538638301302,0.871455899098269,0.833693209220315
"7","Vanellus","Charadrius",0.130434783,0.40625,136.7,69.31666667,130.65,67.99166667,0.038086,0.070918,0.01116581,0.027981671,0.159822961,0.134929137,0.069863615,0.207380494,23,32,0.00267046665058568,0.00283729234816711,0.825371500998901,0.838057175937043
"8","Pedionomus","Attagis",1,0.5,54,222.5,72.4,218,0.091274,0.070952,0.079195606,0.11400665,0.186901255,0.165731353,0.423729665,0.687900316,1,4,0.00459770448140664,0.0055459625299778,0.943890659366587,0.923711422161128
"9","Calidris","Arenaria",0.75,0.5,60.18888889,108,56.38888889,113,0.061884,0.085797,0.049609414,0.057738021,0.133599823,0.118564363,0.371328442,0.486976179,24,2,0.00325392897381963,0.00362724686639145,0.874168483194244,0.778484339679236
"10","Larus","Rissa",0.239130435,0.25,875.7181818,443,705.8363636,393,4e-06,0.01736,0.016218161,0.013130603,0.082194261,0.070727299,0.197315005,0.185651133,46,4,0.00311351714055763,0.00311750780249221,0.854580285700948,0.852704739976609
"11","Circus","Accipiter",0.285714286,0.094339623,429.875,335.4,580.75,586,0.044802,0.053207,0.052303492,0.060219949,0.141593454,0.126097745,0.369392019,0.477565627,14,53,0.00448052347366948,0.00357204255290992,0.897795158897749,0.883356331992822
"12","Buteo","Haliaeetus",0.125,0.285714286,541.6428571,1182.5,660.0285714,1467.25,0.057147,0.017485,0.028361084,0.056152119,0.103916847,0.137893041,0.272920948,0.407215033,56,14,0.00308780792906477,0.00465263898122877,0.840328905301768,0.898684279166787
"13","Polytelis","Alisterus",1,0.333333333,141.2666667,221.5,149.8333333,242.9,0.028463,0.099614,0.209296633,0.176313052,0.174830267,0.145796113,1.197141869,1.209312426,3,3,0.00475742910378706,0.00491568683098926,0.874348753311266,0.85570028861133
"14","Myiobius","Onychorhynchus",0.2,0.25,12,18.6,11.4,15.1,0.017354,0.025759,0.07745906,0.099300135,0.183195065,0.219625383,0.422822855,0.452134146,5,4,0.00419793839446303,0.0049735977395653,0.880919258980377,0.866544677911566
"15","Ptilonorhynchus","Ailuroedus",0.375,0.666666667,157.8333333,214,153.5,197,0.078094,0.067181,0.08733693,0.169882713,0.191024447,0.239303155,0.457202895,0.709905862,16,3,0.00466374487120909,0.00786097104352188,0.831157201606219,0.918178701915233
"16","Lichenostomus","Manorina",0.6,0.4,24.00833333,57.42,21.025,47.46,0.099919,0.06932,0.03873781,0.067117926,0.146399209,0.179539733,0.264603958,0.373833274,20,15,0.00294760643125224,0.0047860315325767,0.845148083432308,0.897924224598389
"17","Vireo","Hylophilus",0.709677419,0.133333333,13.54,9.5,13.36666667,9.5,0.037983,0.030764,0.050257124,0.075833879,0.122227453,0.143246143,0.411177051,0.529395605,31,15,0.00302371888444298,0.00399410859744297,0.896530475763028,0.876538654356446
"18","Epimachus","Manucodia",0.411764706,0.333333333,154.5916667,205.5,124.7416667,157.5,0.018729,0.010212,0.073068107,0.120106139,0.20344704,0.191187316,0.359150504,0.628211856,34,6,0.00422701068667148,0.00507908990673919,0.868896280496714,0.892167395550053
"19","Hirundo","Petrochelidon",0.121212121,0.666666667,17.33333333,498.445,17.53333333,411.99,0.05196,0.078539,0.084820874,0.056335695,0.170783823,0.140051811,0.496656372,0.402248956,33,3,0.00502898586871723,0.00362274618980616,0.915061906764405,0.81126165799054
"20","Tachycineta","Riparia",0.111111111,0.25,21.7,12.7,20.7,13.6,0.061713,0.064597,0.06770015,0.051715431,0.145136131,0.153595452,0.466459656,0.336698976,9,4,0.00453379703367781,0.00368945252421495,0.937841943002058,0.943949532910148
"21","Sylvia","Zosterops",0.039215686,0.007731959,16.35,11.83333333,16.2,11.8,0.048397,0.099269,0.127627038,0.12909064,0.215231429,0.23428973,0.592975845,0.550987189,51,388,0.00553409550688339,0.00649662226708816,0.85180225057701,0.895443883932331
"22","Troglodytes","Thryothorus",0.266666667,0.024390244,9.95,20.3,9.225,18.3,0.063401,0.096634,0.047424427,0.062831528,0.121723659,0.1519995,0.389607305,0.413366676,15,41,0.00348320469058249,0.00399670302670458,0.867436664107308,0.908125089948793
"23","Sturnus","Acridotheres",0.125,0.142857143,81.15,126.8,72.6,114.3,0.003617,0.011194,0.040719695,0.041724405,0.13429639,0.131147691,0.303207666,0.318148222,16,7,0.00319428037924233,0.00303150126609246,0.885277186687418,0.802838817849951
"24","Oenanthe","Saxicola",0.024390244,0.272727273,24.1,15.06666667,23.8,15.6,0.022534,0.009463,0.04787134,0.033566363,0.132940476,0.112402101,0.36009605,0.298627542,41,11,0.00392326700108965,0.00308488929624807,0.873798207410114,0.779151891023644
"25","Euplectes","Quelea",0.058823529,0.111111111,25.5,176.2,20.7,282.4,4e-06,0.035126,0.033923718,0.040067161,0.144672936,0.150516676,0.234485588,0.26619749,17,9,0.00337028876484989,0.00404441516106215,0.919863609555872,0.859942265264367
"26","Lonchura","Taeniopygia",0.170731707,0.6,11.975,11.53333333,11.975,11.8,0.041553,0.103449,0.056102906,0.060304771,0.140895919,0.107282812,0.398186875,0.562110279,41,10,0.00394247719968949,0.00308816737600013,0.911671959704812,0.770449293548099
"27","Calcarius","Plectrophenax",1,0.5,24.525,38.7,23.075,36,0.030144,0.043927,0.025444139,0.029574512,0.116791341,0.116388925,0.217859809,0.254100741,4,2,0.00363326461015591,0.00361219954123036,0.875372874861352,0.877135999298635
"28","Myioborus","Basileuterus",0.125,0.2,9.35,13.275,9.45,13.275,0.05054,0.066755,0.026878505,0.022988414,0.100248698,0.094436141,0.268118243,0.243428134,16,25,0.00311097732232145,0.00250419092852197,0.904465067797799,0.840212140878701
"29","Spizella","Amphispiza",0.857142857,0.5,12.61666667,14.1,12.65,13.4,0.025991,0.108864,0.048084901,0.051011014,0.113789705,0.163555459,0.422576903,0.311888177,7,2,0.00334136492807247,0.00386254674974327,0.921563816090078,0.946446439717458
"30","Zonotrichia","Junco",1,0.25,29.4,18.9,27.64,19.2,0.096385,0.057986,0.01748299,0.03013897,0.081133261,0.087356385,0.215484861,0.345011646,5,4,0.00288106343349687,0.0043851640668779,0.902143140222985,0.833219953067362
"31","Agelaius","Molothrus",0.4,0.333333333,62.4,43.75,42.55,35.85,0.033326,0.085778,0.014111232,0.031879046,0.113529412,0.09095896,0.124295826,0.350477247,5,6,0.00241703143393429,0.00315940887011574,0.895563661065786,0.838441007394222
"32","Passerina","Pheucticus",0.222222222,0.333333333,22.35,44.85,20.425,46.9,4e-06,0.074013,0.043020196,0.053372864,0.141474075,0.136838622,0.304085369,0.390042398,18,6,0.00390482577747238,0.00442472699468271,0.827504081768236,0.801953028792789
