"","genus","Species_name","Mating_System","M_mass","F_mass"
"2","Dromaius","Dromaius_novaehollandiae",1,32700,38300
"3","Apteryx","Apteryx_australis",2,2208,2535
"4","Apteryx","Apteryx_owenii",2,1135,1351
"5","Apteryx","Apteryx_haastii",2,2610,3270
"6","Tinamus","Tinamus_major",1,1059,991
"7","Nothoprocta","Nothoprocta_cinerascens",1,475,577
"8","Ortalis","Ortalis_vetula",2,584,542
"9","Ortalis","Ortalis_motmot",2,423,385
"11","Crax","Crax_rubra",2,4200,3685
"12","Alectura","Alectura_lathami",4,2450,2210
"13","Megapodius","Megapodius_reinwardt",2,1098,888
"15","Alectoris","Alectoris_graeca",2,700,575
"16","Alectoris","Alectoris_rufa",2,516,439
"17","Coturnix","Coturnix_coturnix",2,94.5,103
"18","Coturnix","Coturnix_pectoralis",2,97.9,106
"19","Coturnix","Coturnix_ypsilophora",2,98,103
"20","Coturnix","Coturnix_chinensis",2,41,35.6
"22","Gallus","Gallus_gallus",4,844,500
"23","Lophura","Lophura_leucomelanos",4,995,794
"24","Phasianus","Phasianus_colchicus",4,1186,989
"27","Lagopus","Lagopus_lagopus",2,635,555
"28","Lagopus","Lagopus_mutus",2,439,414
"29","Lagopus","Lagopus_leucurus",2,359,351
"31","Bonasa","Bonasa_umbellus",5,585,472
"32","Tympanuchus","Tympanuchus_phasianellus",5,953,817
"33","Tympanuchus","Tympanuchus_cupido",5,933,795
"34","Meleagris","Meleagris_gallopavo",5,7400,4222
"35","Numida","Numida_meleagris",2,1597,1578
"36","Callipepla","Callipepla_squamata",2,191,177
"37","Callipepla","Callipepla_californica",2,186.4,162
"38","Callipepla","Callipepla_gambelii",2,171.1,167.4
"39","Colinus","Colinus_virginianus",2,173,170
"41","Dendrocygna","Dendrocygna_eytoni",2,788,792
"42","Dendrocygna","Dendrocygna_bicolor",2,675,690
"43","Dendrocygna","Dendrocygna_arcuata",2,866,732
"44","Oxyura","Oxyura_maccoa",4,820,554
"45","Oxyura","Oxyura_australis",2,812,852
"46","Biziura","Biziura_lobata",5,2398,1551
"48","Cygnus","Cygnus_olor",2,11800,9670
"49","Cygnus","Cygnus_atratus",2,6200,5100
"50","Cygnus","Cygnus_melanocorypha",2,5400,4000
"51","Cygnus","Cygnus_cygnus",2,14000,8750
"52","Cygnus","Cygnus_columbianus",2,7258,6305
"53","Anser","Anser_albifrons",2,2853,2508
"54","Anser","Anser_anser",2,3692,3237
"55","Anser","Anser_caerulescens",2,2744,2517
"56","Branta","Branta_sandvicensis",2,2010,1930
"57","Branta","Branta_canadensis",2,3814,3314
"58","Branta","Branta_leucopsis",2,1788,1586
"59","Branta","Branta_bernicla",2,1370,1230
"60","Cereopsis","Cereopsis_novaehollandiae",2,5290,3770
"61","Tadorna","Tadorna_tadornoides",2,1559,1291
"62","Tadorna","Tadorna_variegata",2,1712,1387
"63","Tadorna","Tadorna_radjah",2,934,839
"65","Cairina","Cairina_moschata",4,3000,1250
"66","Nettapus","Nettapus_pulchellus",2,310,304
"67","Nettapus","Nettapus_coromandelianus",2,282,220
"68","Aix","Aix_sponsa",2,680,671
"71","Anas","Anas_americana",2,821,766
"72","Anas","Anas_rubripes",2,1252,1111
"73","Anas","Anas_platyrhynchos",2,1210,1113
"74","Anas","Anas_superciliosa",2,1059,1013
"75","Anas","Anas_discors",2,478,451
"76","Anas","Anas_rhynchotis",2,667,665
"77","Anas","Anas_clypeata",2,636,590
"78","Anas","Anas_gracilis",2,508,469
"79","Anas","Anas_castanea",2,683,593
"80","Anas","Anas_aucklandica",2,521,410
"81","Anas","Anas_acuta",2,1025,866
"82","Anas","Anas_eatoni",2,497,441
"83","Anas","Anas_georgica",2,632,535
"84","Anas","Anas_crecca",2,322,308
"86","Aythya","Aythya_valisineria",2,1252,1156
"87","Aythya","Aythya_collaris",2,744,671
"88","Aythya","Aythya_novaeseelandiae",2,677,687
"89","Aythya","Aythya_marila",2,1052,975
"90","Aythya","Aythya_affinis",2,825,748
"91","Somateria","Somateria_mollissima",2,2218,1915
"92","Histrionicus","Histrionicus_histrionicus",2,653,553
"94","Melanitta","Melanitta_nigra",2,1100,800
"95","Melanitta","Melanitta_fusca",2,1794,1730
"96","Bucephala","Bucephala_albeola",2,481,367
"97","Mergus","Mergus_serrator",2,1135,908
"98","Mergus","Mergus_merganser",2,1709,1232
"99","Turnix","Turnix_sylvatica",1,36,51
"100","Turnix","Turnix_maculosa",1,33.9,45.2
"101","Turnix","Turnix_suscitator",1,44,58
"102","Turnix","Turnix_melanogaster",1,65.3,100.5
"103","Turnix","Turnix_varia",1,82,111
"104","Turnix","Turnix_pyrrhothorax",1,37.1,56.2
"105","Turnix","Turnix_velox",1,37,53
"106","Jynx","Jynx_torquilla",2,38.8,35.9
"107","Melanerpes","Melanerpes_herminieri",2,NA,NA
"108","Melanerpes","Melanerpes_erythrocephalus",2,NA,NA
"109","Melanerpes","Melanerpes_formicivorus",2,80.9,77.2
"110","Melanerpes","Melanerpes_carolinus",2,77.3,63.6
"111","Melanerpes","Melanerpes_aurifrons",2,85.4,76.4
"113","Picoides","Picoides_scalaris",2,NA,NA
"114","Picoides","Picoides_pubescens",2,27.8,28.6
"115","Picoides","Picoides_villosus",2,69.8,61.2
"116","Picoides","Picoides_arcticus",2,78,68
"117","Colaptes","Colaptes_auratus",2,139.6,131.8
"118","Capito","Capito_niger",2,70,63
"119","Aulacorhynchus","Aulacorhynchus_prasinus",2,180,170
"121","Notharchus","Notharchus_macrorhynchos",2,120,125
"122","Pharomachrus","Pharomachrus_auriceps",2,177,151
"123","Trogon","Trogon_melanurus",2,112,NA
"124","Eurystomus","Eurystomus_orientalis",2,126.4,135.5
"126","Baryphthengus","Baryphthengus_martii",2,159.2,155.7
"127","Dacelo","Dacelo_novaeguineae",2,307.2,352.1
"128","Dacelo","Dacelo_leachii",2,283.9,334.5
"133","Megaceryle","Megaceryle_alcyon",2,143.6,151.6
"135","Chloroceryle","Chloroceryle_americana",2,30.3,33.8
"136","Merops","Merops_ornatus",2,29.8,26.1
"137","Merops","Merops_apiaster",2,55.8,54.4
"138","Colius","Colius_striatus",2,54,55.5
"140","Eudynamys","Eudynamys_scolopacea",2,261.9,257
"141","Eudynamys","Eudynamys_taitensis",5,110.4,124.2
"142","Centropus","Centropus_phasianinus",2,302.1,444.9
"143","Coccyzus","Coccyzus_erythropthalmus",2,45.8,55.5
"144","Coccyzus","Coccyzus_americanus",2,58.8,62.6
"145","Crotophaga","Crotophaga_sulcirostris",2,79,70
"146","Guira","Guira_guira",2,139,130
"147","Geococcyx","Geococcyx_californianus",2,319.1,286.3
"148","Trichoglossus","Trichoglossus_haematodus",2,135.7,128.4
"149","Trichoglossus","Trichoglossus_chlorolepidotus",2,88.4,85.3
"151","Glossopsitta","Glossopsitta_concinna",2,79,73.4
"152","Glossopsitta","Glossopsitta_porphyrocephala",2,44.3,45.5
"154","Calyptorhynchus","Calyptorhynchus_latirostris",2,649.7,612
"155","Calyptorhynchus","Calyptorhynchus_funereus",2,731,800
"156","Calyptorhynchus","Calyptorhynchus_banksii",2,740.9,738.6
"157","Calyptorhynchus","Calyptorhynchus_lathami",2,462.5,405.4
"160","Cacatua","Cacatua_leadbeateri",2,424,392
"161","Cacatua","Cacatua_galerita",2,815,764.5
"162","Cacatua","Cacatua_sanguinea",2,562.2,487.8
"163","Cacatua","Cacatua_pastinator",2,610,551.3
"164","Cacatua","Cacatua_tenuirostris",2,588,546
"168","Cyclopsitta","Cyclopsitta_diophthalma",2,37,NA
"169","Eclectus","Eclectus_roratus",2,561.5,560.8
"170","Alisterus","Alisterus_scapularis",2,221.5,242.9
"171","Aprosmictus","Aprosmictus_erythropterus",2,134.7,137
"172","Polytelis","Polytelis_swainsonii",2,153.1,154.3
"173","Polytelis","Polytelis_anthopeplus",2,174.7,182.9
"174","Polytelis","Polytelis_alexandrae",3,96,112.3
"176","Platycercus","Platycercus_caledonicus",2,148.6,118.1
"177","Platycercus","Platycercus_elegans",2,140,125.3
"178","Platycercus","Platycercus_adscitus",2,110.4,113.4
"179","Platycercus","Platycercus_eximius",2,103.8,104.1
"181","Psephotus","Psephotus_haematonotus",2,61.4,61.5
"182","Psephotus","Psephotus_varius",2,61.7,60.6
"183","Psephotus","Psephotus_dissimilis",2,52.8,43.5
"184","Psephotus","Psephotus_chrysopterygius",2,41.5,NA
"185","Psephotus","Psephotus_pulcherrimus",2,NA,NA
"186","Cyanoramphus","Cyanoramphus_unicolor",2,167.1,133.1
"187","Cyanoramphus","Cyanoramphus_novaezelandiae",2,82.1,67.9
"188","Neopsephotus","Neopsephotus_bourkii",2,46,42.9
"189","Neophema","Neophema_chrysostoma",2,45.7,47.8
"190","Neophema","Neophema_petrophila",2,53,53.5
"191","Neophema","Neophema_chrysogaster",2,NA,NA
"192","Neophema","Neophema_pulchella",2,42.7,40.1
"194","Melopsittacus","Melopsittacus_undulatus",2,29.3,28.8
"195","Pezoporus","Pezoporus_wallicus",2,78,79
"197","Brotogeris","Brotogeris_cyanoptera",2,73.4,59.5
"201","Apus","Apus_apus",2,39,40.3
"202","Phaethornis","Phaethornis_superciliosus",5,6,5.5
"203","Coeligena","Coeligena_coeligena",4,6.7,6.2
"204","Sappho","Sappho_sparganura",4,5.5,4.8
"205","Archilochus","Archilochus_colubris",4,3.4,3.8
"206","Calypte","Calypte_anna",5,4.5,4
"207","Tyto","Tyto_tenebricosa",2,492,887
"208","Tyto","Tyto_multipunctata",2,369,558
"209","Tyto","Tyto_novaehollandiae",2,475.8,630.4
"210","Tyto","Tyto_alba",2,314,392
"211","Bubo","Bubo_bubo",2,2380,2992
"212","Strix","Strix_aluco",2,397,486
"213","Strix","Strix_uralensis",2,590,870
"214","Strix","Strix_nebulosa",2,884,1186
"215","Strix","Strix_virgata",2,NA,NA
"216","Surnia","Surnia_ulula",2,270,320
"217","Aegolius","Aegolius_funereus",2,101,167
"218","Ninox","Ninox_strenua",2,1447.2,1252.5
"219","Ninox","Ninox_connivens",2,694.5,591.8
"220","Ninox","Ninox_boobook",2,248,300
"221","Ninox","Ninox_novaeseelandiae",2,189.8,214.3
"222","Asio","Asio_otus",2,233,278
"223","Asio","Asio_flammeus",2,278,312
"224","Aegotheles","Aegotheles_cristatus",2,44,44
"225","Podargus","Podargus_strigoides",2,308,298
"226","Podargus","Podargus_papuensis",2,383,341
"227","Podargus","Podargus_ocellatus",2,265,209.5
"228","Nyctibius","Nyctibius_griseus",2,242,180
"229","Eurostopodus","Eurostopodus_mystacalis",2,104,NA
"232","Caprimulgus","Caprimulgus_macrurus",2,64.4,70.2
"233","Uropsalis","Uropsalis_segmentata",2,40.2,43.5
"234","Columba","Columba_livia",2,294,267
"235","Columba","Columba_palumbus",2,505,497
"236","Columba","Columba_leucocephala",2,237.9,236.7
"237","Columba","Columba_speciosa",2,NA,NA
"238","Columba","Columba_fasciata",2,352,331.4
"239","Columba","Columba_flavirostris",2,NA,NA
"240","Streptopelia","Streptopelia_senegalensis",2,104.4,98.4
"241","Streptopelia","Streptopelia_chinensis",2,163.6,157.2
"242","Streptopelia","Streptopelia_decaocto",2,197,189
"243","Phaps","Phaps_chalcoptera",2,347.5,329.5
"245","Geopelia","Geopelia_striata",2,49.4,45
"246","Geopelia","Geopelia_humeralis",2,133.1,124.2
"247","Zenaida","Zenaida_macroura",2,130,123
"248","Zenaida","Zenaida_aurita",2,NA,NA
"249","Zenaida","Zenaida_asiatica",2,NA,NA
"252","Claravis","Claravis_pretiosa",2,71.8,67.6
"253","Ptilinopus","Ptilinopus_magnificus",2,480,429
"254","Ptilinopus","Ptilinopus_superbus",2,120,115
"255","Ptilinopus","Ptilinopus_regina",2,110.3,93.8
"256","Ducula","Ducula_bicolor",2,468.1,444.1
"257","Ducula","Ducula_spilorrhoa",2,468.1,441.1
"258","Hemiphaga","Hemiphaga_novaeseelandiae",2,624,651.8
"267","Gallirallus","Gallirallus_australis",2,1034,753
"268","Gallirallus","Gallirallus_sylvestris",2,536,456
"269","Rallus","Rallus_elegans",2,NA,NA
"270","Rallus","Rallus_limicola",2,89.4,69.3
"274","Porzana","Porzana_fluminea",2,65.6,57.3
"275","Porzana","Porzana_tabuensis",2,47.7,37.4
"276","Porzana","Porzana_cinerea",2,NA,NA
"277","Porphyrio","Porphyrio_porphyrio",2,869,724
"278","Porphyrio","Porphyrio_mantelli",2,2673,2268
"279","Gallinula","Gallinula_chloropus",2,359,338
"280","Gallinula","Gallinula_tenebrosa",2,570,493
"281","Gallinula","Gallinula_mortierii",2,1334,1251
"282","Attagis","Attagis_gayi",2,311,NA
"283","Thinocorus","Thinocorus_orbignyianus",2,134,125
"285","Scolopax","Scolopax_minor",5,168.4,210.5
"286","Coenocorypha","Coenocorypha_pusilla",2,75.9,85.4
"287","Coenocorypha","Coenocorypha_aucklandica",3,101.2,116.1
"288","Limosa","Limosa_limosa",2,264,315
"289","Limosa","Limosa_haemastica",2,222,289
"290","Limosa","Limosa_lapponica",2,313,354
"291","Limosa","Limosa_fedoa",2,320,421
"292","Numenius","Numenius_phaeopus",2,368,398
"293","Tringa","Tringa_melanoleuca",2,164,176
"294","Tringa","Tringa_flavipes",2,80,83.7
"295","Tringa","Tringa_solitaria",2,45.1,52.1
"296","Tringa","Tringa_glareola",2,62,73
"297","Tringa","Tringa_macularia",1,36.9,48
"298","Arenaria","Arenaria_interpres",2,108,113
"299","Limnodromus","Limnodromus_griseus",2,111,116
"300","Limnodromus","Limnodromus_scolopaceus",2,100,109
"301","Calidris","Calidris_canutus",2,126,148
"302","Calidris","Calidris_alba",1,52.8,55.4
"303","Calidris","Calidris_pusilla",2,25,27
"304","Calidris","Calidris_mauri",2,28,31
"305","Calidris","Calidris_minuta",1,24,27.1
"306","Calidris","Calidris_ruficollis",2,25.7,26.6
"307","Calidris","Calidris_temminckii",1,24.3,27.8
"308","Calidris","Calidris_minutilla",2,20.3,22.2
"309","Calidris","Calidris_fuscicollis",4,39.7,45.8
"310","Calidris","Calidris_bairdii",2,39.3,39.7
"311","Calidris","Calidris_melanotos",5,97.8,65.1
"312","Calidris","Calidris_acuminata",4,70.3,63.5
"313","Calidris","Calidris_maritima",2,67.6,76.3
"314","Calidris","Calidris_ptilocnemis",2,76.3,83
"315","Calidris","Calidris_alpina",2,41,45.1
"320","Phalaropus","Phalaropus_lobatus",1,32.4,37.4
"321","Phalaropus","Phalaropus_fulicaria",1,50.8,61
"322","Rostratula","Rostratula_benghalensis",1,146,159
"323","Irediparra","Irediparra_gallinacea",1,84,143
"324","Jacana","Jacana_spinosa",1,86.9,145.4
"325","Chionis","Chionis_alba",2,735,638
"326","Chionis","Chionis_minor",2,625,551
"327","Burhinus","Burhinus_grallarius",2,671.5,625.3
"328","Haematopus","Haematopus_ostralegus",2,500,536
"329","Haematopus","Haematopus_finschi",2,517,554
"330","Haematopus","Haematopus_bachmani",2,NA,NA
"331","Haematopus","Haematopus_palliatus",2,NA,NA
"332","Haematopus","Haematopus_longirostris",2,602.3,626.3
"333","Haematopus","Haematopus_unicolor",2,717,734
"334","Haematopus","Haematopus_fuliginosus",2,740.3,778.5
"335","Himantopus","Himantopus_novaezelandiae",2,219,227
"336","Pluvialis","Pluvialis_apricaria",2,175,176
"337","Pluvialis","Pluvialis_dominica",2,145,146
"338","Pluvialis","Pluvialis_squatarola",2,240.4,NA
"339","Charadrius","Charadrius_obscurus",2,160,110
"340","Charadrius","Charadrius_hiaticula",2,63.5,64.7
"341","Charadrius","Charadrius_semipalmatus",2,46.1,47.8
"342","Charadrius","Charadrius_dubius",2,38.3,39.2
"343","Charadrius","Charadrius_vociferus",2,92.1,101
"344","Charadrius","Charadrius_tricollaris",2,NA,NA
"345","Charadrius","Charadrius_marginatus",2,48.3,48.3
"346","Charadrius","Charadrius_ruficapillus",2,37.3,37.6
"347","Charadrius","Charadrius_bicinctus",2,58.8,58.4
"348","Charadrius","Charadrius_montanus",2,102,114
"349","Charadrius","Charadrius_rubricollis",2,NA,NA
"355","Elseyornis","Elseyornis_melanops",2,28.5,31.5
"356","Vanellus","Vanellus_tricolor",2,NA,NA
"357","Vanellus","Vanellus_miles",2,264.2,252.8
"358","Stiltia","Stiltia_isabella",2,66,65
"360","Stercorarius","Stercorarius_pomarinus",2,648,740
"361","Stercorarius","Stercorarius_parasiticus",2,361,408
"362","Stercorarius","Stercorarius_longicaudus",2,269.9,307.2
"363","Larus","Larus_pacificus",2,1550,1077
"364","Larus","Larus_canus",2,413,360
"365","Larus","Larus_delawarensis",3,566,471
"366","Larus","Larus_californicus",2,841,710
"367","Larus","Larus_marinus",2,1806,1407
"368","Larus","Larus_dominicanus",2,1080.7,935.3
"369","Larus","Larus_glaucescens",2,1180,946.1
"370","Larus","Larus_argentatus",2,977,813
"371","Larus","Larus_fuscus",2,880,755
"372","Larus","Larus_novaehollandiae",2,313,264
"373","Rissa","Rissa_tridactyla",2,443,393
"374","Sterna","Sterna_bergii",2,305.7,241.7
"375","Sterna","Sterna_striata",2,125.8,131.9
"376","Sterna","Sterna_sumatrana",2,106,106
"377","Sterna","Sterna_hirundo",2,124,126
"378","Sterna","Sterna_paradisaea",2,112,117
"379","Sterna","Sterna_anaethetus",2,NA,NA
"380","Sterna","Sterna_fuscata",2,NA,NA
"381","Chlidonias","Chlidonias_niger",2,61.8,58.7
"382","Anous","Anous_stolidus",2,196.4,172.3
"383","Anous","Anous_minutus",2,NA,97.5
"384","Gygis","Gygis_alba",2,142,135
"386","Uria","Uria_aalge",2,981,985
"387","Uria","Uria_lomvia",2,961,928
"389","Cepphus","Cepphus_grylle",2,376,386
"390","Cepphus","Cepphus_columba",2,487,483
"391","Synthliboramphus","Synthliboramphus_antiquus",2,206.3,205.7
